code;label-en_US;allowed_extensions;auto_option_sorting;available_locales;date_max;date_min;decimals_allowed;default_metric_unit;default_value;group;localizable;max_characters;max_file_size;metric_family;minimum_input_length;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
image_description_10;"Image Description 10";;;;;;;;;media;0;;;;;;;;;0;33;pim_catalog_text;0;1;;;
replacement_cushion_type;"Replacement Cushion Type";;;;;;;;;webinfo;0;;;;;;;;;0;16;pim_catalog_simpleselect;0;1;;;
plant_material;"Plant Material";;;;;;;;;specs;0;;;;;;;;;0;196;pim_catalog_text;0;1;;;
plant_height_range;"Plant Height Range";;;;;;;;;dimensions;0;;;;;;;;;0;40;pim_catalog_multiselect;0;1;;;
fire_pit_fill_material;"Fire Pit Fill Material";;;;;;;;;specs;0;;;;;;;;;0;199;pim_catalog_simpleselect;0;1;;;
fire_tool_material;"Fire Tool Material";;;;;;;;;specs;0;;;;;;;;;0;200;pim_catalog_multiselect;0;1;;;
fire_tool_style;"Fire Tool Style";;;;;;;;;webinfo;0;;;;;;;;;0;17;pim_catalog_simpleselect;0;1;;;
fire_tool_finish;"Fire Tool Finish";;;;;;;;;webinfo;0;;;;;;;;;0;18;pim_catalog_text;0;1;;;
rebate;Rebate;;;;;;;;;marketing;0;;;;;;;;;0;204;pim_catalog_boolean;0;1;;;
option_set_display;"Option Set Display";;;;;;;;;other;0;;;;;;;;;0;146;pim_catalog_text;0;1;;;
bigcommerce_id;"BigCommerce ID";;;;;;0;;;coreinfo;0;;;;;0;;;;0;9;pim_catalog_number;0;1;;;
width;Width;;;;;;1;INCH;;dimensions;0;;;Length;;0;;;;0;3;pim_catalog_metric;0;1;;;
length;Length;;;;;;1;INCH;;dimensions;0;;;Length;;0;;;;0;4;pim_catalog_metric;0;1;;;
depth;Depth;;;;;;1;INCH;;dimensions;0;;;Length;;0;;;;0;5;pim_catalog_metric;0;1;;;
seat_height;"Seat Height";;;;;;1;INCH;;dimensions;0;;;Length;;0;;;;0;7;pim_catalog_metric;0;1;;;
arm_height;"Arm Height";;;;;;1;INCH;;dimensions;0;;;Length;;0;;;;0;8;pim_catalog_metric;0;1;;;
weight;Weight;;;;;;1;POUND;;dimensions;0;;;Weight;;0;;;;0;9;pim_catalog_metric;0;1;;;
